MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Condiments - Soy Sauce,MARCA PINA Soy Sauce (POUCH),Marca Pina,200ml,NO SRP,11,12.2,-9.84%,-1.2,11,11.9,-7.56%,-0.9
Condiments - Soy Sauce,MARCA PINA Soy Sauce (GIN Bottle),Marca Pina,350ml,NO SRP,21.5,21.5,0.00%,0,21.5,21,2.38%,0.5
Condiments - Soy Sauce,MARCA PINA Soy Sauce (PET Bottle),Marca Pina,350ml,NO SRP,21.45,21.5,-0.23%,-0.05,21.45,24.25,-11.55%,-2.8
Condiments - Soy Sauce,MARCA PINA Soy Sauce (PET Bottle),Marca Pina,385ml,NO SRP,23.5,23.5,0.00%,0,23.5,24.1,-2.49%,-0.6
Condiments - Soy Sauce,MARCA PINA Soy Sauce (PET Bottle),Marca Pina,500ml,NO SRP,39.5,39.5,0.00%,0,39.5,39.5,0.00%,0
Condiments - Soy Sauce,SELECT Soy Sauce (POUCH),Select,200ml,NO SRP,10,9.25,8.11%,0.75,10,9.25,8.11%,0.75
Condiments - Soy Sauce,SELECT Soy Sauce (PET Bottle),Select,340ml,NO SRP,,,,,,17.75,,
Condiments - Soy Sauce,SILVER SWAN (POUCH),Silver Swan,100ml,NO SRP,6.8,6.8,0.00%,0,6.8,6.8,0.00%,0
Condiments - Soy Sauce,SILVER SWAN DOY PACK - SMKT,Silver Swan,200ml,11,10.5,10.5,0.00%,0,10.5,10.5,0.00%,0
Condiments - Soy Sauce,SILVER SWAN DOY PACK - WMKT,Silver Swan,200ml,11.5,,,,,,,,
Condiments - Soy Sauce,SILVER SWAN Soy Sauce  (GIN Bottle) - SMKT,Silver Swan,350ml,20.75,,,,,,,,
Condiments - Soy Sauce,SILVER SWAN Soy Sauce  (PET Bottle) - SMKT,Silver Swan,350ml,20.75,20.75,20.75,0.00%,0,20.75,20.75,0.00%,0
Condiments - Soy Sauce,SILVER SWAN Soy Sauce  (PET Bottle) - SMKT,Silver Swan,500ml,NO SRP,28.5,28.5,0.00%,0,28.5,28.5,0.00%,0
Condiments - Soy Sauce,SILVER SWAN Soy Sauce  (POUCH) - SMKT,Silver Swan,1L,NO SRP,53.5,52.75,1.42%,0.75,53.5,52.75,1.42%,0.75
Condiments - Vinegar,DATU PUTI  Vinegar (POUCH) ,Datu Puti,200ml,NO SRP,8,8,0.00%,0,8,7.7,3.90%,0.3
Condiments - Vinegar,DATU PUTI  Vinegar (POUCH) ,Datu Puti,350ml,NO SRP,,,,,,,,
Condiments - Vinegar,DATU PUTI  White Vinegar (PET Bottle) - SMKT,Datu Puti,350ml,18,18,18,0.00%,0,18,18,0.00%,0
Condiments - Vinegar,DATU PUTI  White Vinegar (GIN Bottle) - SMKT,Datu Puti,350ml,18,,,,,,,,
Condiments - Vinegar,DATU PUTI  White Vinegar (PET Bottle) - WMKT,Datu Puti,350ml,18.75,,,,,,,,
Condiments - Vinegar,DATU PUTI  White Vinegar (GIN Bottle) - WMKT,Datu Puti,350ml,18.75,,,,,,,,
Condiments - Vinegar,DATU PUTI  Vinegar STAND UP POUCH - SMKT,Datu Puti,350ml,NO SRP,16,16,0.00%,0,16,16,0.00%,0
Condiments - Vinegar,DATU PUTI  Vinegar (PET Bottle) ,Datu Puti,1L,NO SRP,41.25,41.25,0.00%,0,41.25,41.25,0.00%,0
Condiments - Vinegar,DATU PUTI  Vinegar STAND UP POUCH - SMKT,Datu Puti,1L,NO SRP,39.75,39.75,0.00%,0,39.75,39.75,0.00%,0
Condiments - Vinegar,MARCA PINA Sukang Puti (POUCH),Marca Pina,200ml,NO SRP,9.5,9.3,2.15%,0.2,9.5,9,5.56%,0.5
Condiments - Vinegar,MARCA PINA Sukang Puti (GIN Bottle),Marca Pina,350ml,NO SRP,17.45,17.85,-2.24%,-0.4,17.45,16.75,4.18%,0.7
Condiments - Vinegar,MARCA PINA Sukang Puti (PET Bottle),Marca Pina,385ml,NO SRP,20,20,0.00%,0,20,19.5,2.56%,0.5
